graph_id,model,top_edge_fraction,empirical_edges,candidate_edges,shared_edges,jaccard,precision,recall,f1
7,Raw,0.1,400,400,58,0.07816711590296496,0.145,0.145,0.145
7,MLP,0.1,400,400,42,0.055408970976253295,0.105,0.105,0.10499999999999998
7,GIN,0.1,400,400,68,0.09289617486338798,0.17,0.17,0.17
7,GAT,0.1,400,400,59,0.0796221322537112,0.1475,0.1475,0.1475
8,Raw,0.1,400,400,71,0.09739368998628258,0.1775,0.1775,0.17750000000000002
8,MLP,0.1,400,400,41,0.05401844532279315,0.1025,0.1025,0.1025
8,GIN,0.1,400,400,36,0.04712041884816754,0.09,0.09,0.09
8,GAT,0.1,400,400,56,0.07526881720430108,0.14,0.14,0.14
9,Raw,0.1,400,400,77,0.10650069156293222,0.1925,0.1925,0.19249999999999998
9,MLP,0.1,400,400,47,0.06241699867197875,0.1175,0.1175,0.1175
9,GIN,0.1,400,400,37,0.04849279161205767,0.0925,0.0925,0.0925
9,GAT,0.1,400,400,54,0.07238605898123325,0.135,0.135,0.135
10,Raw,0.1,400,400,68,0.09289617486338798,0.17,0.17,0.17
10,MLP,0.1,400,400,45,0.059602649006622516,0.1125,0.1125,0.1125
10,GIN,0.1,400,400,20,0.02564102564102564,0.05,0.05,0.05000000000000001
10,GAT,0.1,400,400,56,0.07526881720430108,0.14,0.14,0.14
11,Raw,0.1,400,400,73,0.10041265474552957,0.1825,0.1825,0.18249999999999997
11,MLP,0.1,400,400,39,0.051248357424441525,0.0975,0.0975,0.0975
11,GIN,0.1,400,400,84,0.11731843575418995,0.21,0.21,0.20999999999999996
11,GAT,0.1,400,400,52,0.06951871657754011,0.13,0.13,0.13
12,Raw,0.1,400,400,64,0.08695652173913043,0.16,0.16,0.16
12,MLP,0.1,400,400,50,0.06666666666666667,0.125,0.125,0.125
12,GIN,0.1,400,400,73,0.10041265474552957,0.1825,0.1825,0.18249999999999997
12,GAT,0.1,400,400,54,0.07238605898123325,0.135,0.135,0.135
13,Raw,0.1,400,400,69,0.09439124487004104,0.1725,0.1725,0.1725
13,MLP,0.1,400,400,43,0.05680317040951123,0.1075,0.1075,0.10749999999999998
13,GIN,0.1,400,400,19,0.024327784891165175,0.0475,0.0475,0.0475
13,GAT,0.1,400,400,60,0.08108108108108109,0.15,0.15,0.15
14,Raw,0.1,400,400,66,0.08991825613079019,0.165,0.165,0.165
14,MLP,0.1,400,400,42,0.055408970976253295,0.105,0.105,0.10499999999999998
14,GIN,0.1,400,400,19,0.024327784891165175,0.0475,0.0475,0.0475
14,GAT,0.1,400,400,53,0.07095046854082998,0.1325,0.1325,0.1325
15,Raw,0.1,400,400,66,0.08991825613079019,0.165,0.165,0.165
15,MLP,0.1,400,400,42,0.055408970976253295,0.105,0.105,0.10499999999999998
15,GIN,0.1,400,400,27,0.03492884864165589,0.0675,0.0675,0.0675
15,GAT,0.1,400,400,53,0.07095046854082998,0.1325,0.1325,0.1325
16,Raw,0.1,400,400,79,0.10957004160887657,0.1975,0.1975,0.1975
16,MLP,0.1,400,400,38,0.049868766404199474,0.095,0.095,0.095
16,GIN,0.1,400,400,32,0.041666666666666664,0.08,0.08,0.08
16,GAT,0.1,400,400,55,0.0738255033557047,0.1375,0.1375,0.1375
17,Raw,0.1,400,400,63,0.08548168249660787,0.1575,0.1575,0.1575
17,MLP,0.1,400,400,46,0.0610079575596817,0.115,0.115,0.115
17,GIN,0.1,400,400,25,0.03225806451612903,0.0625,0.0625,0.0625
17,GAT,0.1,400,400,65,0.08843537414965986,0.1625,0.1625,0.1625
18,Raw,0.1,400,400,57,0.07671601615074024,0.1425,0.1425,0.1425
18,MLP,0.1,400,400,40,0.05263157894736842,0.1,0.1,0.10000000000000002
18,GIN,0.1,400,400,17,0.021711366538952746,0.0425,0.0425,0.0425
18,GAT,0.1,400,400,63,0.08548168249660787,0.1575,0.1575,0.1575
19,Raw,0.1,400,400,61,0.08254397834912043,0.1525,0.1525,0.1525
19,MLP,0.1,400,400,41,0.05401844532279315,0.1025,0.1025,0.1025
19,GIN,0.1,400,400,21,0.026957637997432605,0.0525,0.0525,0.05249999999999999
19,GAT,0.1,400,400,60,0.08108108108108109,0.15,0.15,0.15
20,Raw,0.1,400,400,62,0.08401084010840108,0.155,0.155,0.155
20,MLP,0.1,400,400,39,0.051248357424441525,0.0975,0.0975,0.0975
20,GIN,0.1,400,400,63,0.08548168249660787,0.1575,0.1575,0.1575
20,GAT,0.1,400,400,75,0.10344827586206896,0.1875,0.1875,0.1875
21,Raw,0.1,400,400,67,0.09140518417462483,0.1675,0.1675,0.1675
21,MLP,0.1,400,400,47,0.06241699867197875,0.1175,0.1175,0.1175
21,GIN,0.1,400,400,31,0.04031209362808843,0.0775,0.0775,0.0775
21,GAT,0.1,400,400,66,0.08991825613079019,0.165,0.165,0.165
22,Raw,0.1,400,400,67,0.09140518417462483,0.1675,0.1675,0.1675
22,MLP,0.1,400,400,45,0.059602649006622516,0.1125,0.1125,0.1125
22,GIN,0.1,400,400,21,0.026957637997432605,0.0525,0.0525,0.05249999999999999
22,GAT,0.1,400,400,54,0.07238605898123325,0.135,0.135,0.135
23,Raw,0.1,400,400,76,0.10497237569060773,0.19,0.19,0.19
23,MLP,0.1,400,400,44,0.0582010582010582,0.11,0.11,0.11
23,GIN,0.1,400,400,32,0.041666666666666664,0.08,0.08,0.08
23,GAT,0.1,400,400,63,0.08548168249660787,0.1575,0.1575,0.1575
24,Raw,0.1,400,400,64,0.08695652173913043,0.16,0.16,0.16
24,MLP,0.1,400,400,47,0.06241699867197875,0.1175,0.1175,0.1175
24,GIN,0.1,400,400,73,0.10041265474552957,0.1825,0.1825,0.18249999999999997
24,GAT,0.1,400,400,73,0.10041265474552957,0.1825,0.1825,0.18249999999999997
25,Raw,0.1,400,400,71,0.09739368998628258,0.1775,0.1775,0.17750000000000002
25,MLP,0.1,400,400,38,0.049868766404199474,0.095,0.095,0.095
25,GIN,0.1,400,400,32,0.041666666666666664,0.08,0.08,0.08
25,GAT,0.1,400,400,54,0.07238605898123325,0.135,0.135,0.135
26,Raw,0.1,400,400,66,0.08991825613079019,0.165,0.165,0.165
26,MLP,0.1,400,400,29,0.03761348897535668,0.0725,0.0725,0.0725
26,GIN,0.1,400,400,46,0.0610079575596817,0.115,0.115,0.115
26,GAT,0.1,400,400,59,0.0796221322537112,0.1475,0.1475,0.1475
27,Raw,0.1,400,400,63,0.08548168249660787,0.1575,0.1575,0.1575
27,MLP,0.1,400,400,48,0.06382978723404255,0.12,0.12,0.12
27,GIN,0.1,400,400,75,0.10344827586206896,0.1875,0.1875,0.1875
27,GAT,0.1,400,400,55,0.0738255033557047,0.1375,0.1375,0.1375
28,Raw,0.1,400,400,67,0.09140518417462483,0.1675,0.1675,0.1675
28,MLP,0.1,400,400,43,0.05680317040951123,0.1075,0.1075,0.10749999999999998
28,GIN,0.1,400,400,82,0.11420612813370473,0.205,0.205,0.205
28,GAT,0.1,400,400,58,0.07816711590296496,0.145,0.145,0.145
29,Raw,0.1,400,400,59,0.0796221322537112,0.1475,0.1475,0.1475
29,MLP,0.1,400,400,39,0.051248357424441525,0.0975,0.0975,0.0975
29,GIN,0.1,400,400,28,0.03626943005181347,0.07,0.07,0.07
29,GAT,0.1,400,400,62,0.08401084010840108,0.155,0.155,0.155
30,Raw,0.1,400,400,70,0.0958904109589041,0.175,0.175,0.175
30,MLP,0.1,400,400,46,0.0610079575596817,0.115,0.115,0.115
30,GIN,0.1,400,400,49,0.06524633821571238,0.1225,0.1225,0.1225
30,GAT,0.1,400,400,63,0.08548168249660787,0.1575,0.1575,0.1575
31,Raw,0.1,400,400,67,0.09140518417462483,0.1675,0.1675,0.1675
31,MLP,0.1,400,400,45,0.059602649006622516,0.1125,0.1125,0.1125
31,GIN,0.1,400,400,27,0.03492884864165589,0.0675,0.0675,0.0675
31,GAT,0.1,400,400,54,0.07238605898123325,0.135,0.135,0.135
32,Raw,0.1,400,400,69,0.09439124487004104,0.1725,0.1725,0.1725
32,MLP,0.1,400,400,48,0.06382978723404255,0.12,0.12,0.12
32,GIN,0.1,400,400,52,0.06951871657754011,0.13,0.13,0.13
32,GAT,0.1,400,400,57,0.07671601615074024,0.1425,0.1425,0.1425
33,Raw,0.1,400,400,71,0.09739368998628258,0.1775,0.1775,0.17750000000000002
33,MLP,0.1,400,400,31,0.04031209362808843,0.0775,0.0775,0.0775
33,GIN,0.1,400,400,46,0.0610079575596817,0.115,0.115,0.115
33,GAT,0.1,400,400,59,0.0796221322537112,0.1475,0.1475,0.1475
34,Raw,0.1,400,400,59,0.0796221322537112,0.1475,0.1475,0.1475
34,MLP,0.1,400,400,37,0.04849279161205767,0.0925,0.0925,0.0925
34,GIN,0.1,400,400,71,0.09739368998628258,0.1775,0.1775,0.17750000000000002
34,GAT,0.1,400,400,60,0.08108108108108109,0.15,0.15,0.15
35,Raw,0.1,400,400,73,0.10041265474552957,0.1825,0.1825,0.18249999999999997
35,MLP,0.1,400,400,46,0.0610079575596817,0.115,0.115,0.115
35,GIN,0.1,400,400,25,0.03225806451612903,0.0625,0.0625,0.0625
35,GAT,0.1,400,400,51,0.06809078771695594,0.1275,0.1275,0.1275
36,Raw,0.1,400,400,63,0.08548168249660787,0.1575,0.1575,0.1575
36,MLP,0.1,400,400,50,0.06666666666666667,0.125,0.125,0.125
36,GIN,0.1,400,400,37,0.04849279161205767,0.0925,0.0925,0.0925
36,GAT,0.1,400,400,55,0.0738255033557047,0.1375,0.1375,0.1375
37,Raw,0.1,400,400,62,0.08401084010840108,0.155,0.155,0.155
37,MLP,0.1,400,400,37,0.04849279161205767,0.0925,0.0925,0.0925
37,GIN,0.1,400,400,34,0.044386422976501305,0.085,0.085,0.085
37,GAT,0.1,400,400,55,0.0738255033557047,0.1375,0.1375,0.1375
38,Raw,0.1,400,400,69,0.09439124487004104,0.1725,0.1725,0.1725
38,MLP,0.1,400,400,47,0.06241699867197875,0.1175,0.1175,0.1175
38,GIN,0.1,400,400,15,0.01910828025477707,0.0375,0.0375,0.0375
38,GAT,0.1,400,400,63,0.08548168249660787,0.1575,0.1575,0.1575
39,Raw,0.1,400,400,61,0.08254397834912043,0.1525,0.1525,0.1525
39,MLP,0.1,400,400,52,0.06951871657754011,0.13,0.13,0.13
39,GIN,0.1,400,400,29,0.03761348897535668,0.0725,0.0725,0.0725
39,GAT,0.1,400,400,67,0.09140518417462483,0.1675,0.1675,0.1675
40,Raw,0.1,400,400,73,0.10041265474552957,0.1825,0.1825,0.18249999999999997
40,MLP,0.1,400,400,43,0.05680317040951123,0.1075,0.1075,0.10749999999999998
40,GIN,0.1,400,400,15,0.01910828025477707,0.0375,0.0375,0.0375
40,GAT,0.1,400,400,54,0.07238605898123325,0.135,0.135,0.135
41,Raw,0.1,400,400,68,0.09289617486338798,0.17,0.17,0.17
41,MLP,0.1,400,400,52,0.06951871657754011,0.13,0.13,0.13
41,GIN,0.1,400,400,51,0.06809078771695594,0.1275,0.1275,0.1275
41,GAT,0.1,400,400,61,0.08254397834912043,0.1525,0.1525,0.1525
42,Raw,0.1,400,400,64,0.08695652173913043,0.16,0.16,0.16
42,MLP,0.1,400,400,47,0.06241699867197875,0.1175,0.1175,0.1175
42,GIN,0.1,400,400,63,0.08548168249660787,0.1575,0.1575,0.1575
42,GAT,0.1,400,400,45,0.059602649006622516,0.1125,0.1125,0.1125
43,Raw,0.1,400,400,64,0.08695652173913043,0.16,0.16,0.16
43,MLP,0.1,400,400,41,0.05401844532279315,0.1025,0.1025,0.1025
43,GIN,0.1,400,400,16,0.02040816326530612,0.04,0.04,0.04
43,GAT,0.1,400,400,61,0.08254397834912043,0.1525,0.1525,0.1525
44,Raw,0.1,400,400,66,0.08991825613079019,0.165,0.165,0.165
44,MLP,0.1,400,400,47,0.06241699867197875,0.1175,0.1175,0.1175
44,GIN,0.1,400,400,32,0.041666666666666664,0.08,0.08,0.08
44,GAT,0.1,400,400,58,0.07816711590296496,0.145,0.145,0.145
45,Raw,0.1,400,400,66,0.08991825613079019,0.165,0.165,0.165
45,MLP,0.1,400,400,44,0.0582010582010582,0.11,0.11,0.11
45,GIN,0.1,400,400,44,0.0582010582010582,0.11,0.11,0.11
45,GAT,0.1,400,400,63,0.08548168249660787,0.1575,0.1575,0.1575
46,Raw,0.1,400,400,69,0.09439124487004104,0.1725,0.1725,0.1725
46,MLP,0.1,400,400,42,0.055408970976253295,0.105,0.105,0.10499999999999998
46,GIN,0.1,400,400,71,0.09739368998628258,0.1775,0.1775,0.17750000000000002
46,GAT,0.1,400,400,60,0.08108108108108109,0.15,0.15,0.15
47,Raw,0.1,400,400,53,0.07095046854082998,0.1325,0.1325,0.1325
47,MLP,0.1,400,400,43,0.05680317040951123,0.1075,0.1075,0.10749999999999998
47,GIN,0.1,400,400,30,0.03896103896103896,0.075,0.075,0.075
47,GAT,0.1,400,400,57,0.07671601615074024,0.1425,0.1425,0.1425
48,Raw,0.1,400,400,72,0.0989010989010989,0.18,0.18,0.18
48,MLP,0.1,400,400,39,0.051248357424441525,0.0975,0.0975,0.0975
48,GIN,0.1,400,400,31,0.04031209362808843,0.0775,0.0775,0.0775
48,GAT,0.1,400,400,62,0.08401084010840108,0.155,0.155,0.155
49,Raw,0.1,400,400,64,0.08695652173913043,0.16,0.16,0.16
49,MLP,0.1,400,400,45,0.059602649006622516,0.1125,0.1125,0.1125
49,GIN,0.1,400,400,30,0.03896103896103896,0.075,0.075,0.075
49,GAT,0.1,400,400,57,0.07671601615074024,0.1425,0.1425,0.1425
50,Raw,0.1,400,400,65,0.08843537414965986,0.1625,0.1625,0.1625
50,MLP,0.1,400,400,51,0.06809078771695594,0.1275,0.1275,0.1275
50,GIN,0.1,400,400,62,0.08401084010840108,0.155,0.155,0.155
50,GAT,0.1,400,400,57,0.07671601615074024,0.1425,0.1425,0.1425
51,Raw,0.1,400,400,71,0.09739368998628258,0.1775,0.1775,0.17750000000000002
51,MLP,0.1,400,400,42,0.055408970976253295,0.105,0.105,0.10499999999999998
51,GIN,0.1,400,400,38,0.049868766404199474,0.095,0.095,0.095
51,GAT,0.1,400,400,72,0.0989010989010989,0.18,0.18,0.18
52,Raw,0.1,400,400,71,0.09739368998628258,0.1775,0.1775,0.17750000000000002
52,MLP,0.1,400,400,48,0.06382978723404255,0.12,0.12,0.12
52,GIN,0.1,400,400,26,0.03359173126614987,0.065,0.065,0.065
52,GAT,0.1,400,400,56,0.07526881720430108,0.14,0.14,0.14
53,Raw,0.1,400,400,60,0.08108108108108109,0.15,0.15,0.15
53,MLP,0.1,400,400,44,0.0582010582010582,0.11,0.11,0.11
53,GIN,0.1,400,400,61,0.08254397834912043,0.1525,0.1525,0.1525
53,GAT,0.1,400,400,59,0.0796221322537112,0.1475,0.1475,0.1475
54,Raw,0.1,400,400,67,0.09140518417462483,0.1675,0.1675,0.1675
54,MLP,0.1,400,400,39,0.051248357424441525,0.0975,0.0975,0.0975
54,GIN,0.1,400,400,59,0.0796221322537112,0.1475,0.1475,0.1475
54,GAT,0.1,400,400,64,0.08695652173913043,0.16,0.16,0.16
55,Raw,0.1,400,400,58,0.07816711590296496,0.145,0.145,0.145
55,MLP,0.1,400,400,48,0.06382978723404255,0.12,0.12,0.12
55,GIN,0.1,400,400,23,0.029601029601029602,0.0575,0.0575,0.0575
55,GAT,0.1,400,400,66,0.08991825613079019,0.165,0.165,0.165
56,Raw,0.1,400,400,64,0.08695652173913043,0.16,0.16,0.16
56,MLP,0.1,400,400,44,0.0582010582010582,0.11,0.11,0.11
56,GIN,0.1,400,400,48,0.06382978723404255,0.12,0.12,0.12
56,GAT,0.1,400,400,62,0.08401084010840108,0.155,0.155,0.155
57,Raw,0.1,400,400,67,0.09140518417462483,0.1675,0.1675,0.1675
57,MLP,0.1,400,400,42,0.055408970976253295,0.105,0.105,0.10499999999999998
57,GIN,0.1,400,400,68,0.09289617486338798,0.17,0.17,0.17
57,GAT,0.1,400,400,61,0.08254397834912043,0.1525,0.1525,0.1525
58,Raw,0.1,400,400,67,0.09140518417462483,0.1675,0.1675,0.1675
58,MLP,0.1,400,400,46,0.0610079575596817,0.115,0.115,0.115
58,GIN,0.1,400,400,30,0.03896103896103896,0.075,0.075,0.075
58,GAT,0.1,400,400,65,0.08843537414965986,0.1625,0.1625,0.1625
59,Raw,0.1,400,400,65,0.08843537414965986,0.1625,0.1625,0.1625
59,MLP,0.1,400,400,39,0.051248357424441525,0.0975,0.0975,0.0975
59,GIN,0.1,400,400,38,0.049868766404199474,0.095,0.095,0.095
59,GAT,0.1,400,400,52,0.06951871657754011,0.13,0.13,0.13
60,Raw,0.1,400,400,63,0.08548168249660787,0.1575,0.1575,0.1575
60,MLP,0.1,400,400,43,0.05680317040951123,0.1075,0.1075,0.10749999999999998
60,GIN,0.1,400,400,54,0.07238605898123325,0.135,0.135,0.135
60,GAT,0.1,400,400,55,0.0738255033557047,0.1375,0.1375,0.1375
61,Raw,0.1,400,400,68,0.09289617486338798,0.17,0.17,0.17
61,MLP,0.1,400,400,47,0.06241699867197875,0.1175,0.1175,0.1175
61,GIN,0.1,400,400,22,0.028277634961439587,0.055,0.055,0.055
61,GAT,0.1,400,400,66,0.08991825613079019,0.165,0.165,0.165
62,Raw,0.1,400,400,77,0.10650069156293222,0.1925,0.1925,0.19249999999999998
62,MLP,0.1,400,400,35,0.0457516339869281,0.0875,0.0875,0.0875
62,GIN,0.1,400,400,22,0.028277634961439587,0.055,0.055,0.055
62,GAT,0.1,400,400,50,0.06666666666666667,0.125,0.125,0.125
63,Raw,0.1,400,400,76,0.10497237569060773,0.19,0.19,0.19
63,MLP,0.1,400,400,41,0.05401844532279315,0.1025,0.1025,0.1025
63,GIN,0.1,400,400,49,0.06524633821571238,0.1225,0.1225,0.1225
63,GAT,0.1,400,400,66,0.08991825613079019,0.165,0.165,0.165
64,Raw,0.1,400,400,65,0.08843537414965986,0.1625,0.1625,0.1625
64,MLP,0.1,400,400,48,0.06382978723404255,0.12,0.12,0.12
64,GIN,0.1,400,400,49,0.06524633821571238,0.1225,0.1225,0.1225
64,GAT,0.1,400,400,57,0.07671601615074024,0.1425,0.1425,0.1425
65,Raw,0.1,400,400,68,0.09289617486338798,0.17,0.17,0.17
65,MLP,0.1,400,400,47,0.06241699867197875,0.1175,0.1175,0.1175
65,GIN,0.1,400,400,74,0.10192837465564739,0.185,0.185,0.185
65,GAT,0.1,400,400,57,0.07671601615074024,0.1425,0.1425,0.1425
66,Raw,0.1,400,400,70,0.0958904109589041,0.175,0.175,0.175
66,MLP,0.1,400,400,41,0.05401844532279315,0.1025,0.1025,0.1025
66,GIN,0.1,400,400,18,0.023017902813299233,0.045,0.045,0.045
66,GAT,0.1,400,400,64,0.08695652173913043,0.16,0.16,0.16
67,Raw,0.1,400,400,65,0.08843537414965986,0.1625,0.1625,0.1625
67,MLP,0.1,400,400,42,0.055408970976253295,0.105,0.105,0.10499999999999998
67,GIN,0.1,400,400,60,0.08108108108108109,0.15,0.15,0.15
67,GAT,0.1,400,400,63,0.08548168249660787,0.1575,0.1575,0.1575
68,Raw,0.1,400,400,56,0.07526881720430108,0.14,0.14,0.14
68,MLP,0.1,400,400,43,0.05680317040951123,0.1075,0.1075,0.10749999999999998
68,GIN,0.1,400,400,23,0.029601029601029602,0.0575,0.0575,0.0575
68,GAT,0.1,400,400,56,0.07526881720430108,0.14,0.14,0.14
69,Raw,0.1,400,400,61,0.08254397834912043,0.1525,0.1525,0.1525
69,MLP,0.1,400,400,45,0.059602649006622516,0.1125,0.1125,0.1125
69,GIN,0.1,400,400,59,0.0796221322537112,0.1475,0.1475,0.1475
69,GAT,0.1,400,400,58,0.07816711590296496,0.145,0.145,0.145
70,Raw,0.1,400,400,62,0.08401084010840108,0.155,0.155,0.155
70,MLP,0.1,400,400,41,0.05401844532279315,0.1025,0.1025,0.1025
70,GIN,0.1,400,400,61,0.08254397834912043,0.1525,0.1525,0.1525
70,GAT,0.1,400,400,66,0.08991825613079019,0.165,0.165,0.165
71,Raw,0.1,400,400,67,0.09140518417462483,0.1675,0.1675,0.1675
71,MLP,0.1,400,400,37,0.04849279161205767,0.0925,0.0925,0.0925
71,GIN,0.1,400,400,25,0.03225806451612903,0.0625,0.0625,0.0625
71,GAT,0.1,400,400,63,0.08548168249660787,0.1575,0.1575,0.1575
72,Raw,0.1,400,400,65,0.08843537414965986,0.1625,0.1625,0.1625
72,MLP,0.1,400,400,40,0.05263157894736842,0.1,0.1,0.10000000000000002
72,GIN,0.1,400,400,56,0.07526881720430108,0.14,0.14,0.14
72,GAT,0.1,400,400,61,0.08254397834912043,0.1525,0.1525,0.1525
73,Raw,0.1,400,400,77,0.10650069156293222,0.1925,0.1925,0.19249999999999998
73,MLP,0.1,400,400,41,0.05401844532279315,0.1025,0.1025,0.1025
73,GIN,0.1,400,400,39,0.051248357424441525,0.0975,0.0975,0.0975
73,GAT,0.1,400,400,56,0.07526881720430108,0.14,0.14,0.14
74,Raw,0.1,400,400,74,0.10192837465564739,0.185,0.185,0.185
74,MLP,0.1,400,400,44,0.0582010582010582,0.11,0.11,0.11
74,GIN,0.1,400,400,22,0.028277634961439587,0.055,0.055,0.055
74,GAT,0.1,400,400,54,0.07238605898123325,0.135,0.135,0.135
75,Raw,0.1,400,400,69,0.09439124487004104,0.1725,0.1725,0.1725
75,MLP,0.1,400,400,46,0.0610079575596817,0.115,0.115,0.115
75,GIN,0.1,400,400,45,0.059602649006622516,0.1125,0.1125,0.1125
75,GAT,0.1,400,400,58,0.07816711590296496,0.145,0.145,0.145
76,Raw,0.1,400,400,69,0.09439124487004104,0.1725,0.1725,0.1725
76,MLP,0.1,400,400,46,0.0610079575596817,0.115,0.115,0.115
76,GIN,0.1,400,400,51,0.06809078771695594,0.1275,0.1275,0.1275
76,GAT,0.1,400,400,64,0.08695652173913043,0.16,0.16,0.16
77,Raw,0.1,400,400,67,0.09140518417462483,0.1675,0.1675,0.1675
77,MLP,0.1,400,400,34,0.044386422976501305,0.085,0.085,0.085
77,GIN,0.1,400,400,17,0.021711366538952746,0.0425,0.0425,0.0425
77,GAT,0.1,400,400,60,0.08108108108108109,0.15,0.15,0.15
78,Raw,0.1,400,400,52,0.06951871657754011,0.13,0.13,0.13
78,MLP,0.1,400,400,47,0.06241699867197875,0.1175,0.1175,0.1175
78,GIN,0.1,400,400,47,0.06241699867197875,0.1175,0.1175,0.1175
78,GAT,0.1,400,400,67,0.09140518417462483,0.1675,0.1675,0.1675
79,Raw,0.1,400,400,66,0.08991825613079019,0.165,0.165,0.165
79,MLP,0.1,400,400,38,0.049868766404199474,0.095,0.095,0.095
79,GIN,0.1,400,400,21,0.026957637997432605,0.0525,0.0525,0.05249999999999999
79,GAT,0.1,400,400,59,0.0796221322537112,0.1475,0.1475,0.1475
80,Raw,0.1,400,400,58,0.07816711590296496,0.145,0.145,0.145
80,MLP,0.1,400,400,32,0.041666666666666664,0.08,0.08,0.08
80,GIN,0.1,400,400,61,0.08254397834912043,0.1525,0.1525,0.1525
80,GAT,0.1,400,400,61,0.08254397834912043,0.1525,0.1525,0.1525
81,Raw,0.1,400,400,66,0.08991825613079019,0.165,0.165,0.165
81,MLP,0.1,400,400,41,0.05401844532279315,0.1025,0.1025,0.1025
81,GIN,0.1,400,400,23,0.029601029601029602,0.0575,0.0575,0.0575
81,GAT,0.1,400,400,52,0.06951871657754011,0.13,0.13,0.13
82,Raw,0.1,400,400,57,0.07671601615074024,0.1425,0.1425,0.1425
82,MLP,0.1,400,400,41,0.05401844532279315,0.1025,0.1025,0.1025
82,GIN,0.1,400,400,68,0.09289617486338798,0.17,0.17,0.17
82,GAT,0.1,400,400,63,0.08548168249660787,0.1575,0.1575,0.1575
83,Raw,0.1,400,400,69,0.09439124487004104,0.1725,0.1725,0.1725
83,MLP,0.1,400,400,37,0.04849279161205767,0.0925,0.0925,0.0925
83,GIN,0.1,400,400,51,0.06809078771695594,0.1275,0.1275,0.1275
83,GAT,0.1,400,400,56,0.07526881720430108,0.14,0.14,0.14
84,Raw,0.1,400,400,58,0.07816711590296496,0.145,0.145,0.145
84,MLP,0.1,400,400,41,0.05401844532279315,0.1025,0.1025,0.1025
84,GIN,0.1,400,400,26,0.03359173126614987,0.065,0.065,0.065
84,GAT,0.1,400,400,53,0.07095046854082998,0.1325,0.1325,0.1325
85,Raw,0.1,400,400,52,0.06951871657754011,0.13,0.13,0.13
85,MLP,0.1,400,400,38,0.049868766404199474,0.095,0.095,0.095
85,GIN,0.1,400,400,36,0.04712041884816754,0.09,0.09,0.09
85,GAT,0.1,400,400,58,0.07816711590296496,0.145,0.145,0.145
86,Raw,0.1,400,400,77,0.10650069156293222,0.1925,0.1925,0.19249999999999998
86,MLP,0.1,400,400,50,0.06666666666666667,0.125,0.125,0.125
86,GIN,0.1,400,400,67,0.09140518417462483,0.1675,0.1675,0.1675
86,GAT,0.1,400,400,54,0.07238605898123325,0.135,0.135,0.135
87,Raw,0.1,400,400,56,0.07526881720430108,0.14,0.14,0.14
87,MLP,0.1,400,400,53,0.07095046854082998,0.1325,0.1325,0.1325
87,GIN,0.1,400,400,23,0.029601029601029602,0.0575,0.0575,0.0575
87,GAT,0.1,400,400,58,0.07816711590296496,0.145,0.145,0.145
88,Raw,0.1,400,400,63,0.08548168249660787,0.1575,0.1575,0.1575
88,MLP,0.1,400,400,47,0.06241699867197875,0.1175,0.1175,0.1175
88,GIN,0.1,400,400,38,0.049868766404199474,0.095,0.095,0.095
